# Customer Segmentation Dataset
# Pentru clustering cu K-Means
# Variabile: annual_income (mii RON), spending_score (1-100), age, visits_per_month
# Generat cu 4 clustere naturale: Premium, Young Shoppers, Budget Conscious, Casual
customer_id,annual_income,spending_score,age,visits_per_month
C001,85,92,32,12
C002,78,88,28,10
C003,92,95,35,14
C004,88,90,31,11
C005,82,85,29,9
C006,95,93,38,13
C007,79,87,27,10
C008,91,91,34,12
C009,86,89,30,11
C010,83,86,33,10
C011,35,78,22,15
C012,28,82,20,18
C013,42,85,24,16
C014,32,79,21,14
C015,38,83,23,17
C016,30,80,19,19
C017,45,88,25,15
C018,33,76,22,16
C019,40,84,24,18
C020,36,81,21,17
C021,55,25,48,3
C022,62,22,52,2
C023,48,28,45,4
C024,58,20,50,2
C025,52,30,47,3
C026,65,18,55,2
C027,50,32,44,4
C028,60,24,51,3
C029,54,26,49,3
C030,57,21,53,2
C031,42,45,38,6
C032,45,48,40,5
C033,38,42,36,7
C034,48,50,42,6
C035,40,44,37,6
C036,50,52,43,5
C037,35,40,35,7
C038,52,55,44,5
C039,44,47,39,6
C040,46,49,41,6
C041,90,94,36,13
C042,75,82,26,9
C043,34,77,20,16
C044,60,23,54,2
C045,43,46,40,6
C046,87,91,33,12
C047,80,86,30,10
C048,31,81,21,17
C049,56,19,51,2
C050,47,51,42,5
C051,93,96,37,14
C052,76,84,27,9
C053,37,80,23,15
C054,63,25,53,3
C055,41,43,38,7
C056,84,88,31,11
C057,77,83,28,10
C058,29,75,19,18
C059,59,22,50,2
C060,49,53,43,5
C061,89,92,34,12
C062,81,87,29,10
C063,39,82,24,16
C064,61,21,52,2
C065,44,48,39,6
C066,94,95,38,14
C067,73,81,25,8
C068,33,78,22,15
C069,57,27,49,3
C070,51,54,44,5
C071,86,90,32,11
C072,74,80,26,9
C073,36,79,23,16
C074,64,24,54,3
C075,46,50,41,6
C076,91,93,35,13
C077,72,78,24,8
C078,30,76,20,17
C079,53,29,48,4
C080,43,45,37,6
