# Housing Price Dataset (Simplificat pentru scopuri educaționale)
# Relație liniară: price ≈ 50 + 0.5*sqft + 10*bedrooms + 5*bathrooms + noise
# Unitati: sqft (square feet), price (mii USD)
sqft,bedrooms,bathrooms,age_years,price
1400,3,2,10,185
1600,3,2,5,210
1200,2,1,15,145
2000,4,3,3,295
1800,3,2,8,235
1500,3,2,12,195
2200,4,3,2,320
1100,2,1,20,125
1700,3,2,7,225
1900,4,2,5,270
1300,2,2,18,155
2100,4,3,1,310
1450,3,1,14,175
1650,3,2,9,215
2300,5,3,4,345
1250,2,1,16,140
1550,3,2,11,200
1750,3,2,6,240
2050,4,3,2,305
1350,2,2,13,165
1850,4,2,7,260
1150,2,1,22,120
1950,4,3,4,285
1425,3,2,10,180
1625,3,2,8,220
2150,4,3,3,325
1275,2,1,19,135
1575,3,2,12,205
1725,3,2,5,230
1875,4,2,6,265
2250,5,3,2,350
1075,2,1,25,110
1525,3,2,15,190
1675,3,2,7,228
1925,4,3,4,290
1225,2,2,17,150
1775,3,2,9,248
2025,4,3,3,302
1375,2,2,14,168
1975,4,3,5,278
1125,2,1,21,128
2075,4,3,2,315
1475,3,2,11,188
1825,4,2,8,255
1325,2,1,16,148
1725,3,2,6,232
2175,5,3,1,335
1575,3,2,10,208
1625,3,2,9,218
1875,4,3,5,275
